,Author ID,Paper_ID,Author_x,Affiliation,Affiliation Type,Author Last Name,Year,DOI,Author_y,AuthorOrder,AuthorOrderRank,CareerAge,CumPaper
1390,37366020600,729569,min song,"School of Library and Information Science, Indiana University, Bloomington, IN, USA",Academic Institution,song,1998.0,10.1109/INFVIS.1998.729569,min song,1.0,First,2.0,1.0
1391,37282193800,745280,renato pajarola,"ETH, Zurich, Switzerland",Private Corporation,pajarola,1998.0,10.1109/VISUAL.1998.745280,renato pajarola,1.0,First,3.0,1.0
1392,37360111200,745282,h. hoppe,"Microsoft Research, USA",Private Corporation,hoppe,1998.0,10.1109/VISUAL.1998.745282,hugues hoppe,1.0,First,7.0,1.0
1393,37374614800,729570,elizabeth g hetzler,"Pacific Northwest National Laboratory, USA",Private Corporation,hetzler,1998.0,10.1109/INFVIS.1998.729570,elizabeth g. hetzler,1.0,First,2.0,1.0
1394,37363311600,729570,paul d whitney,"Pacific Northwest National Laboratory, USA",Private Corporation,whitney,1998.0,10.1109/INFVIS.1998.729570,paul whitney,2.0,Middle,2.0,1.0
1395,37372798600,729570,lou martucci,"Pacific Northwest National Laboratory, USA",Private Corporation,martucci,1998.0,10.1109/INFVIS.1998.729570,lou martucci,3.0,Middle,1.0,1.0
1396,37273308900,729570,jim thomas,"Pacific Northwest National Laboratory, USA",Private Corporation,thomas,1998.0,10.1109/INFVIS.1998.729570,james j. thomas,4.0,Last,24.0,2.0
1397,37361678300,745281,jianyun chai,"Sanei Company Limited, Japan",Private Corporation,chai,1998.0,10.1109/VISUAL.1998.745281,jianyun chai,1.0,First,4.0,1.0
1398,37276340700,745281,takaharu miyoshi,"Hiroshima Institute of Technology, Hiroshima, Japan",Academic Institution,miyoshi,1998.0,10.1109/VISUAL.1998.745281,takaharu miyoshi,2.0,Middle,1.0,1.0
1399,37271893200,745281,eihachiro nakamae,"Hiroshima Institute of Technology, Hiroshima, Japan",Academic Institution,nakamae,1998.0,10.1109/VISUAL.1998.745281,eihachiro nakamae,3.0,Last,17.0,1.0
1400,37283084000,745283,leila de floriani,"Dipartimento di Informatica e Scienze dellInformazione, Universita di Genova, Genoa, Italy",Academic Institution,de floriani,1998.0,10.1109/VISUAL.1998.745283,leila de floriani,1.0,First,17.0,2.0
1401,37371970000,745283,paola magillo,"Dipartimento di Informatica e Scienze dellInformazione, Universita di Genova, Genoa, Italy",Academic Institution,magillo,1998.0,10.1109/VISUAL.1998.745283,paola magillo,2.0,Middle,6.0,2.0
