Paper,Supervisee,Supervisor
10.1109/VISUAL.1997.663867,rainer wegenkittl,m. eduard gröller
10.1109/TVCG.2020.3030385,tarik crnovrsanin,kwan-liu ma
10.1109/TVCG.2020.3030453,jianping kelvin li,kwan-liu ma
10.1109/TVCG.2020.3028889,takanori fujiwara,kwan-liu ma
10.1109/VAST50239.2020.00010,takanori fujiwara,kwan-liu ma
10.1109/VAST50239.2020.00008,"suyun sandra"" bae","kwan-liu ma"""
10.1109/TVCG.2019.2934251,takanori fujiwara,kwan-liu ma
10.1109/TVCG.2019.2934537,jianping kelvin li,kwan-liu ma
10.1109/TVCG.2019.2934433,takanori fujiwara,kwan-liu ma
10.1109/TVCG.2019.2934396,oh-hyun kwon,kwan-liu ma
10.1109/TVCG.2018.2865021,xumeng wang,kwan-liu ma
10.1109/TVCG.2018.2864841,min shih,kwan-liu ma
10.1109/VAST.2017.8585646,takanori fujiwara,kwan-liu ma
10.1109/TVCG.2017.2745139,xumeng wang,kwan-liu ma
10.1109/TVCG.2017.2743858,oh-hyun kwon,kwan-liu ma
10.1109/VAST.2015.7347626,chris bryan,kwan-liu ma
10.1109/VAST.2014.7042479,tarik crnovrsanin,kwan-liu ma
10.1109/TVCG.2014.2346594,haidong chen,kwan-liu ma
10.1109/TVCG.2014.2346423,franz sauer,kwan-liu ma
10.1109/TVCG.2013.172,yubo zhang,kwan-liu ma
10.1109/TVCG.2013.123,wei-hsien hsu,kwan-liu ma
10.1109/VAST.2012.6400494,jishang wei,kwan-liu ma
10.1109/TVCG.2012.285,yingcai wu,kwan-liu ma
10.1109/TVCG.2012.227,nathaniel fout,kwan-liu ma
10.1109/TVCG.2012.212,yuzuru tanahashi,kwan-liu ma
10.1109/TVCG.2012.194,nathaniel fout,kwan-liu ma
10.1109/VAST.2010.5652460,yu-hsuan chan,kwan-liu ma
10.1109/TVCG.2010.218,chad jones,kwan-liu ma
10.1109/TVCG.2010.215,anna tikhonova,kwan-liu ma
10.1109/TVCG.2010.212,stéphane marchesin,kwan-liu ma
10.1109/VAST.2009.5332611,carlos d. correa,kwan-liu ma
10.1109/VAST.2009.5332593,tarik crnovrsanin,kwan-liu ma
10.1109/TVCG.2009.196,chris muelder,kwan-liu ma
10.1109/TVCG.2009.189,carlos d. correa,kwan-liu ma
10.1109/TVCG.2009.123,michael ogawa,kwan-liu ma
10.1109/TVCG.2008.162,carlos d. correa,kwan-liu ma
10.1109/TVCG.2008.158,chris muelder,kwan-liu ma
10.1109/TVCG.2008.140,chaoli wang 0001,kwan-liu ma
10.1109/TVCG.2007.70516,nathaniel fout,kwan-liu ma
10.1109/VISUAL.2005.1532820,fan-yin tzeng,kwan-liu ma
10.1109/VISUAL.2004.64,eric b. lum,kwan-liu ma
10.1109/VISUAL.2004.5,gregory l. schussman,kwan-liu ma
10.1109/VISUAL.2003.1250413,fan-yin tzeng,kwan-liu ma
10.1109/INFVIS.2003.1249009,t. j. jankun-kelly,kwan-liu ma
10.1109/VISUAL.2002.1183805,eric b. lum,kwan-liu ma
10.1109/VISUAL.2000.885678,t. j. jankun-kelly,kwan-liu ma
10.1109/VISUAL.1999.809910,han-wei shen,kwan-liu ma
10.1109/VISUAL.1995.485144,shyh-kuang ueng,kwan-liu ma
10.1109/TVCG.2020.3030396,xinhuan shu,huamin qu
10.1109/TVCG.2020.3030471,qianwen wang,huamin qu
10.1109/TVCG.2020.3030469,zezheng feng,huamin qu
10.1109/TVCG.2020.3030423,aoyu wu,huamin qu
10.1109/TVCG.2020.3030342,furui cheng,huamin qu
10.1109/TVCG.2019.2934810,zhutian chen,huamin qu
10.1109/TVCG.2019.2934660,xuanwu yue,huamin qu
10.1109/TVCG.2019.2934275,dong sun 0001,huamin qu
10.1109/TVCG.2019.2934332,zhutian chen,huamin qu
10.1109/TVCG.2019.2934656,haipeng zeng,huamin qu
10.1109/TVCG.2019.2934798,yong wang 0021,huamin qu
10.1109/TVCG.2019.2934613,ke xu,huamin qu
10.1109/TVCG.2018.2865232,qianwen wang,huamin qu
10.1109/VAST.2017.8585721,yao ming,huamin qu
10.1109/TVCG.2017.2744738,xun zhao,huamin qu
10.1109/TVCG.2017.2744159,qiaomu shen,huamin qu
10.1109/TVCG.2017.2744080,siwei fu,huamin qu
10.1109/VAST.2016.7883517,yuanzhe chen,huamin qu
10.1109/TVCG.2016.2599378,po-ming law,huamin qu
10.1109/TVCG.2016.2598444,siwei fu,huamin qu
10.1109/VAST.2015.7347633,quan li,huamin qu
10.1109/TVCG.2015.2468151,yanhong wu,huamin qu
10.1109/TVCG.2015.2467691,yong wang 0021,huamin qu
10.1109/TVCG.2014.2346912,conglei shi,huamin qu
10.1109/TVCG.2014.2346893,wei zeng 0004,huamin qu
10.1109/TVCG.2013.221,panpan xu,huamin qu
10.1109/TVCG.2012.291,nan cao,huamin qu
10.1109/TVCG.2012.253,conglei shi,huamin qu
10.1109/TVCG.2011.188,nan cao,huamin qu
10.1109/TVCG.2010.183,yingcai wu,huamin qu
10.1109/TVCG.2010.154,nan cao,huamin qu
10.1109/TVCG.2009.179,xiaoru yuan,huamin qu
10.1109/TVCG.2009.172,ming-yuen chan,huamin qu
10.1109/TVCG.2018.2864852,saeed boorboor,arie e. kaufman
10.1109/VAST.2016.7883508,ji hwan park,arie e. kaufman
10.1109/TVCG.2016.2598791,saad nadeem,arie e. kaufman
10.1109/TVCG.2015.2467954,charilaos papadopoulos,arie e. kaufman
10.1109/TVCG.2015.2467413,joseph marino,arie e. kaufman
10.1109/TVCG.2013.139,krishna chaitanya gurijala,arie e. kaufman
