Paper,Supervisee,Supervisor
10.1109/VAST.2017.8585647,jun wang,klaus mueller
10.1109/TVCG.2016.2598479,cong xie,klaus mueller
10.1109/TVCG.2015.2467931,jun wang,klaus mueller
10.1109/TVCG.2015.2467552,shenghui cheng,klaus mueller
10.1109/TVCG.2013.190,bing wang 0007,klaus mueller
10.1109/TVCG.2012.234,nafees ahmed,klaus mueller
10.1109/TVCG.2012.186,lars kuehne,klaus mueller
10.1109/TVCG.2011.218,ziyi zheng,klaus mueller
10.1109/VAST.2010.5652484,supriya garg,klaus mueller
10.1109/TVCG.2010.211,ziyi zheng,klaus mueller
10.1109/VAST.2008.4677352,supriya garg,klaus mueller
10.1109/TVCG.2008.118,lujin wang,klaus mueller
10.1109/TVCG.2007.70573,feng qiu,klaus mueller
10.1109/VISUAL.2004.35,lujin wang,klaus mueller
10.1109/VISUAL.2004.24,feng qiu,klaus mueller
10.1109/VISUAL.2003.1250403,tomihisa welsh,klaus mueller
10.1109/VISUAL.2000.885698,jian huang,klaus mueller
10.1109/TVCG.2020.3030378,arpit narechania,john t. stasko
10.1109/TVCG.2018.2865146,emily wall,john t. stasko
10.1109/TVCG.2018.2865145,arjun srinivasan,john t. stasko
10.1109/TVCG.2017.2745219,arjun srinivasan,john t. stasko
10.1109/TVCG.2016.2598590,mengdie hu,john t. stasko
10.1109/TVCG.2014.2346249,ramik sadana,john t. stasko
10.1109/TVCG.2013.209,rahul c. basole,john t. stasko
10.1109/TVCG.2012.263,hannah pileggi,john t. stasko
10.1109/TVCG.2012.224,youn ah kang,john t. stasko
10.1109/VAST.2011.6102440,zhicheng liu,john t. stasko
10.1109/VAST.2011.6102438,youn ah kang,john t. stasko
10.1109/TVCG.2010.177,zhicheng liu,john t. stasko
10.1109/VAST.2009.5333878,youn ah kang,john t. stasko
10.1109/TVCG.2008.121,zhicheng liu,john t. stasko
10.1109/TVCG.2008.125,george g. robertson,john t. stasko
10.1109/INFVIS.2005.1532136,robert a. amar,john t. stasko
10.1109/INFVIS.2004.10,robert a. amar,john t. stasko
10.1109/INFVIS.2003.1249027,christoph csallner,john t. stasko
10.1109/INFVIS.2001.963277,james r. eagan,john t. stasko
10.1109/INFVIS.1995.528685,dean f. jerding,john t. stasko
10.1109/TVCG.2014.2346456,katherine e. isaacs,bernd hamann
10.1109/TVCG.2011.162,sean williams,bernd hamann
10.1109/TVCG.2007.70603,attila gyulassy,bernd hamann
10.1109/TVCG.2007.70590,alfred r. fuller,bernd hamann
10.1109/TVCG.2007.70552,attila gyulassy,bernd hamann
10.1109/TVCG.2007.70543,scott e. dillard,bernd hamann
10.1109/VISUAL.2005.1532839,attila gyulassy,bernd hamann
10.1109/VISUAL.2005.1532826,david f. wiley,bernd hamann
10.1109/VISUAL.2002.1183772,gunther h. weber,bernd hamann
10.1109/VISUAL.1991.175782,gregory m. nielson,bernd hamann
10.1109/VISUAL.1990.146363,gregory m. nielson,bernd hamann
10.1109/TVCG.2020.3028955,pascal nardini,gerik scheuermann
10.1109/TVCG.2018.2864846,felix raith,gerik scheuermann
10.1109/TVCG.2015.2467620,stefan jänicke,gerik scheuermann
10.1109/SciVis.2015.7429491,valentin zobel,gerik scheuermann
10.1109/TVCG.2012.249,steven schlegel,gerik scheuermann
10.1109/TVCG.2012.198,wieland reich,gerik scheuermann
10.1109/TVCG.2010.217,stefan jänicke,gerik scheuermann
10.1109/TVCG.2009.197,heike leitte,gerik scheuermann
10.1109/TVCG.2008.143,dominic schneider,gerik scheuermann
10.1109/TVCG.2008.116,heike leitte,gerik scheuermann
10.1109/TVCG.2007.70557,alexander wiebel,gerik scheuermann
10.1109/VISUAL.2005.1532848,alexander wiebel,gerik scheuermann
10.1109/VISUAL.2005.1532773,mario hlawitschka,gerik scheuermann
10.1109/VISUAL.2004.107,christoph garth,gerik scheuermann
10.1109/VISUAL.2003.1250372,julia ebling,gerik scheuermann
10.1109/VAST50239.2020.00009,jiang wu,yingcai wu
10.1109/TVCG.2020.3030458,di weng,yingcai wu
10.1109/TVCG.2020.3030392,shuainan ye,yingcai wu
10.1109/TVCG.2020.3030467,tan tang,yingcai wu
10.1109/TVCG.2020.3030359,xiao xie,yingcai wu
10.1109/TVCG.2020.3030393,jiacheng pan,yingcai wu
10.1109/TVCG.2020.3028957,xiao xie,yingcai wu
10.1109/TVCG.2019.2934630,jiachen wang,yingcai wu
10.1109/TVCG.2019.2934670,zikun deng,yingcai wu
10.1109/TVCG.2018.2865126,di weng,yingcai wu
10.1109/TVCG.2018.2864899,tan tang,yingcai wu
10.1109/TVCG.2016.2598432,dongyu liu,yingcai wu
10.1109/TVCG.2008.159,ming-yuen chan,yingcai wu
