Top VISPub Authors,Year,Supervisee,Reference
thomas ertl,2006,joachim diepstraten,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2005,manfred weiler,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2005,martin rotard,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2004,stefan rottger,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2004,matthias hopf,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2004,marcelo magallon,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2004,norbert frisch,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2003, ove sommer,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2003,jurgen peter schulze-dobold,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2003,martin kraus,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2002,martin schulz,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,2002,klaus engel,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,1999,peter hastreiter,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,1999,christian teitzel,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,1999,christoph lurig,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
thomas ertl,1999,sven kuschfeldt,https://www.visus.uni-stuttgart.de/documentcenter/Mitarbeiter-Material/Ertl-Thomas/Diss-list_2022.pdf
cláudio t. silva,2021,peter xenopoulos,https://www.peterxeno.com/
cláudio t. silva,2021,guande wu,https://www.gdwu.xyz/
cláudio t. silva,2021,jianzhe lin,https://ctsilva.github.io/team/
cláudio t. silva,2021,shaoyu chen,https://chenshaoyu1995.github.io/
cláudio t. silva,2021,shuya zhao,https://szhaofelicia.github.io/
cláudio t. silva,2021,joao rulff,https://ctsilva.github.io/team/
cláudio t. silva,2020,yurii piadyk,https://ypiadyk.github.io/
cláudio t. silva,2021,gromit yeuk-yin chan,http://gromitchan.com/research.html
cláudio t. silva,2021,jorge piazentin ono,https://vgc.poly.edu/~jhenrique/publications/
cláudio t. silva,2021,fabio miranda,https://fmiranda.me/
cláudio t. silva,2020,marcos lage ,http://www.ic.uff.br/~mlage/
cláudio t. silva,2020,alexander bock,http://alexanderbock.eu/
cláudio t. silva,2019,bowen yu,http://bowenyu.me/
cláudio t. silva,2020,aritra dasgupta,https://aedeegee.github.io/
cláudio t. silva,2021,nivan ferreira,https://www.cin.ufpe.br/~nivan/
cláudio t. silva,2021,jorge poco,https://vgc.poly.edu/~jpocom/
cláudio t. silva,2020,harish doraiswamy ,https://scholar.google.com/citations?hl=en&user=IF0C9wQAAAAJ&view_op=list_works&sortby=pubdate
cláudio t. silva,2016,tiago etiene,https://scholar.google.com/citations?hl=en&user=6_lARekAAAAJ&view_op=list_works&sortby=pubdate
cláudio t. silva,2017,matthew berger,https://matthewberger.github.io/
cláudio t. silva,2016,huy vo,https://hvo.github.io/
cláudio t. silva,2013,erik anderson,https://www.researchgate.net/profile/Erik-Anderson-2
cláudio t. silva,2011,lauro lins,https://www.sci.utah.edu/~lauro/
cláudio t. silva,2019,emanuele santos,https://emanueles.github.io/publications/
cláudio t. silva,2014,david koop,https://faculty.cs.niu.edu/~dakoop/
cláudio t. silva,2014,carlos scheidegger,https://scholar.google.com/citations?hl=en&user=8uHMJjsAAAAJ&view_op=list_works&sortby=pubdate
cláudio t. silva,2009,steven callahan,http://www.sci.utah.edu/~stevec/Publications.html
cláudio t. silva,2005,louis bavoil,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C22&q=Louis+Bavoil+Claudio+Silva&btnG=
cláudio t. silva,2006,shachar fleishman,https://scholar.google.com/citations?hl=en&user=nEpKS-8AAAAJ&view_op=list_works&sortby=pubdate
